Federation	2007 CPU (kS12K) Pledge	2008 CPU (kS12K) Pledge	VOMoU	VOAdditional	Accounting Name	Site(s)	Updated 		
			"alice,atlas,cms,lhcb"			UKI-SOUTHGRID-OX-HEP	
			"alice,atlas,cms,lhcb"			UKI-SOUTHGRID-RALPP	
"Ukraine, Ukrainian Tier-2 Federation"	600	1166	"alice,cms"	"atlas,lhcb"	UA-		
"USA, Great Lakes ATLAS T2"	581	965	atlas	"alice,cms,lhcb"	US-AGLT2	AGLT2	
"USA, Northeast ATLAS T2"	394	665	atlas	"alice,cms,lhcb"	US-NET2	BU_ATLAS_Tier2	
"USA, Midwest ATLAS T2"	826	1112	atlas	"alice,cms,lhcb"	US-MWT2	MWT2_UC	
			atlas	"alice,cms,lhcb"		MWT2_IU	
			atlas	"alice,cms,lhcb"		UC_ATLAS_MWT2	
			atlas	"alice,cms,lhcb"		IU_OSG	10/5/07
"USA, Southwest ATLAS T2"	998	1386	atlas	"alice,cms,lhcb"	US-SWT2	OU_OCHEP_SWT2	
			atlas	"alice,cms,lhcb"		UTA_SWT2	10/5/07
			atlas	"alice,cms,lhcb"		SWT2_CPB	3/10/08
"USA, SLAC ATLAS T2"	550	820	atlas	"alice,cms,lhcb"	US-WT2	PROD_SLAC	10/5/07
"USA, Caltech CMS T2"	470	1000	cms	"alice,atlas,lhcb"	T2_US_Caltech	CIT_CMS_T2	3/10/08
"USA, Florida CMS T2"	470	1000	cms	"alice,atlas,lhcb"	T2_US_Florida	Uflorida-PG	3/10/08
			cms	"alice,atlas,lhcb"		Uflorida-IHEPA	
			cms	"alice,atlas,lhcb"		UFlorida-HPC 	
"USA, MIT CMS T2"	470	1000	cms	"alice,atlas,lhcb"	T2_US_MIT	MIT_CMS	3/10/08
"USA, Nebraska CMS T2"	470	1000	cms	"alice,atlas,lhcb"	T2_US_Nebraska	Nebraska	3/10/08
"USA, Purdue CMS T2"	470	1000	cms	"alice,atlas,lhcb"	T2_US_Purdue 	Purdue-Lear 	3/10/08
			cms	"alice,atlas,lhcb"		Purdue-RCAC 	
			cms	"alice,atlas,lhcb"		Purdue-Steele	
"USA, UC San Diego CMS T2"	470	1000	cms	"alice,atlas,lhcb"	T2_US_UCSD	UCSDT2	3/10/08
"USA, U. Wisconsin CMS T2"	470	1000	cms	"alice,atlas,lhcb"	T2_US_Wisconsin	GLOW	3/10/08
							
